"2001:308::","2001:308:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:309::","2001:30f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:310::","2001:310:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:311::","2001:317:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:318::","2001:318:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:319::","2001:31f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:320::","2001:320:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:321::","2001:327:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:328::","2001:328:ffff:ffff:ffff:ffff:ffff:ffff","MY"
"2001:329::","2001:32f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:330::","2001:330:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:331::","2001:337:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:338::","2001:338:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:339::","2001:33f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:340::","2001:340:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:341::","2001:347:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:348::","2001:348:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:349::","2001:34f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:350::","2001:350:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:351::","2001:357:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:358::","2001:358:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:359::","2001:367:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:368::","2001:368:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:369::","2001:36f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:370::","2001:370:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:371::","2001:377:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:378::","2001:378:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:379::","2001:37f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:380::","2001:380:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:381::","2001:38f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:390::","2001:390:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:391::","2001:397:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:398::","2001:398:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:399::","2001:39f:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3a0::","2001:3a0:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:3a1::","2001:3a7:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3a8::","2001:3a8:ffff:ffff:ffff:ffff:ffff:ffff","KR"
"2001:3a9::","2001:3af:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3b0::","2001:3b0:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:3b1::","2001:3b7:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3b8::","2001:3b8:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:3b9::","2001:3bf:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3c0::","2001:3c0:1fff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:3c0:2000::","2001:3c7:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3c8::","2001:3c8:ffff:ffff:ffff:ffff:ffff:ffff","TH"
"2001:3c9::","2001:3cf:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3d0::","2001:3d0:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:3d1::","2001:3d7:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3d8::","2001:3d8:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:3d9::","2001:3df:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3e0::","2001:3e0:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:3e1::","2001:3e7:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:3e8::","2001:3e8:ffff:ffff:ffff:ffff:ffff:ffff","JP"
"2001:3e9::","2001:3ff:ffff:ffff:ffff:ffff:ffff:ffff","AU"
"2001:400::","2001:40f:ffff:ffff:ffff:ffff:ffff:ffff","US"
"2001:410::","2001:410:5fff:ffff:ffff:ffff:ffff:ffff","CA"
